"Reference";"BroadFunction";"Protein";"Chr";"Strand";"G.Start";"G.End";"G.Size..nt.";"Inter.genic";"Start..cum.";"End..cum.";"N..Introns";"Size..nt..sum";"Size_prot.aa.";"Final.Description";"Closest.Organism..excl..Ophios.Sporothrix.";"Closest.Organism..excl..O.novo.ulmi.only.";"KEGG_KO.";"KEGG_Name";"Blast2GO_Annotation";"X.GO.Terms";"GO.Terms";"Enzyme.Code";"CAZy";"MEROPS_family";"SignalP";"Alterna_Splice";"SMURF";"Notes";"gene_ID"
"275";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp8382";"VIII";"+";"1.703.700";"1.705.028";1.329;1.49;"30.957.339";"30.958.667";0;0;442;"Glycoside hydrolase family 43 protein";"Trichoderma atroviride";"Ophiostoma piceae";"";"";"glycosyl hydrolase family 43 protein";1;"F:hydrolase activity";"-";"GH43-CBM35 ";"";"Y";"";"";"";"g8382"
"276";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp8504";"VIII";"-";"2.181.638";"2.182.869";1.232;3.404;"31.435.277";"31.436.508";1;62;389;"Glucoamylase I";"Colletotrichum fioriniae";"Ophiostoma piceae";"";"";"starch binding domain-containing protein";4;"P:metabolic process; C:viral capsid; F:catalytic activity; F:starch binding";"-";"CBM20 ";"";"Y";"";"";"";"g8504"
"277";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp8521";"VIII";"-";"2.237.902";"2.240.015";2.114;3.752;"31.491.541";"31.493.654";3;308;601;"Probable mannan endo-1,4-beta-mannosidase A";"Sordaria macrospora";"Ophiostoma piceae";"";"";"glycoside hydrolase family 5 protein";3;"F:hydrolase activity, hydrolyzing O-glycosyl compounds; P:carbohydrate metabolic process; F:cation binding";"EC:3.2.1.0";"GH5 ";"";"Y";"";"";"";"g8521"
"278";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp8535";"VIII";"-";"2.287.881";"2.289.755";1.875;1.414;"31.541.520";"31.543.394";0;0;624;"Acid beta-fructofuranosidase (Acid invertase)";"Ceratocystis moniliformis";"Ophiostoma piceae";"";"";"glycosyl hydrolase family protein";1;"F:hydrolase activity";"-";"GH32 ";"";"N";"";"";"";"g8535"
"279";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp1078";"I";"+";"4.148.976";"4.155.596";6.621;5.315;"4.148.976";"4.155.596";0;0;2.206;"Conidial yellow pigment biosynthesis polyketide synthase (PKS)";"Podospora anserina";"Ophiostoma piceae";"";"";"polyketide synthase";1;"F:catalytic activity";"-";"";"";"N";"";"backbone-PKS";"";"g1078"
"280";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp1079";"I";"+";"4.158.189";"4.160.897";2.709;2.592;"4.158.189";"4.160.897";0;0;902;"C6 zinc finger fungal transcription factor";"Neurospora tetrasperma";"Ophiostoma piceae";"";"";"c6 zinc finger domain containing protein";9;"P:transcription from RNA polymerase II promoter; F:DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription, DNA-dependent; F:metal ion binding; P:transcription, DNA-dependent";"";"";"";"N";"";"cluster gene";"";"g1079"
"281";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp1080";"I";"-";"4.161.224";"4.162.632";1.409;326;"4.161.224";"4.162.632";1;59;449;"Riboflavin transporter MCH5";"Talaromyces marneffei";"Ophiostoma piceae";"";"";"mfs monocarboxylate transporter";2;"P:transmembrane transport; C:integral to membrane";"-";"";"";"N";"";"cluster gene";"";"g1080"
"282";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp1396";"I";"+";"5.296.538";"5.303.249";6.712;7.912;"5.296.538";"5.303.249";3;190;2.173;"Conidial yellow pigment biosynthesis polyketide synthase (PKS)";"Grosmannia clavigera";"Ophiostoma piceae";"K00645";"fabD; [acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]";"polyketide synthase";4;"F:transferase activity; F:phosphopantetheine binding; F:hydrolase activity, acting on ester bonds; P:biosynthetic process";"-";"";"";"N";"";"backbone-PKS";"";"g1396"
"283";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp1434";"I";"-";"5.471.984";"5.480.760";8.777;348;"5.471.984";"5.480.760";3;260;2.838;"Polyketide synthase (PKS)";"Grosmannia clavigera";"Ophiostoma piceae";"K12437";"pks13; polyketide synthase 13";"polyketide synthase";3;"F:small molecule binding; P:metabolic process; F:transferase activity, transferring acyl groups other than amino-acyl groups";"EC:2.3.1.0";"";"";"N";"";"backbone-PKS";"";"g1434"
"284";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp1867";"II";"+";"41.776";"43.457";1.682;3.606;"6.979.708";"6.981.389";1;56;541;"High affinity methionine permease";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"amino acid permease";3;"C:integral to membrane; F:amino acid transmembrane transporter activity; P:amino acid transmembrane transport";"-";"";"";"N";"";"cluster gene";"";"g1867"
"285";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp1868";"II";"+";"43.793";"44.736";944;335;"6.981.725";"6.982.668";1;83;286;"15-hydroxyprostaglandin dehydrogenase";"Glarea lozoyensis";"Sporothrix schenckii";"";"";"uncharacterized oxidoreductase";5;"P:oxidation-reduction process; F:oxidoreductase activity; P:metabolic process; F:nucleotide binding; F:alcohol dehydrogenase (NAD) activity";"";"";"";"N";"";"cluster gene";"";"g1868"
"286";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp1869";"II";"-";"46.353";"47.678";1.326;1.616;"6.984.285";"6.985.610";0;0;441;"Putative uncharacterized protein";"Nectria haematococca";"Ophiostoma piceae";"";"";"bzip transcription";3;"P:regulation of transcription, DNA-dependent; F:sequence-specific DNA binding; F:sequence-specific DNA binding transcription factor activity";"";"";"";"N";"";"cluster gene";"";"g1869"
"287";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp1870";"II";"-";"49.765";"51.507";1.743;2.086;"6.987.697";"6.989.439";0;0;580;"Tannase";"Neofusicoccum parvum";"Neofusicoccum parvum";"";"";"tannase subunit";2;"F:tannase activity; F:hydrolase activity";"";"";"";"N";"";"cluster gene";"";"g1870"
"288";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp1871";"II";"+";"53.721";"54.467";747;2.213;"6.991.653";"6.992.399";1;66;226;"O-methyltransferase, putative";"Aspergillus oryzae";"Ophiostoma piceae";"";"";"o-";2;"F:O-methyltransferase activity; P:methylation";"-";"";"";"N";"";"cluster gene";"";"g1871"
"289";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp1872";"II";"-";"55.169";"61.525";6.357;701;"6.993.101";"6.999.457";0;0;2.118;"Serine/threonine-protein kinase RIM15";"Grosmannia clavigera";"Ophiostoma piceae";"K12767";"RIM15; serine/threonine-protein kinase RIM15 [EC:2.7.11.1]";"agc protein kinase";7;"P:primary metabolic process; F:protein kinase activity; F:signal transducer activity; P:cellular macromolecule metabolic process; F:nucleotide binding; P:phosphorylation; P:signal transduction";"-";"";"";"N";"";"cluster gene";"";"g1872"
"290";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp1873";"II";"+";"64.539";"65.333";795;3.013;"7.002.471";"7.003.265";0;0;264;"Lipase, gdsl";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"sgnh hydrolase";1;"F:hydrolase activity";"";"";"";"N";"";"cluster gene";"";"g1873"
"291";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp1874";"II";"-";"65.763";"68.553";2.791;429;"7.003.695";"7.006.485";1;730;686;"COP9 signalosome complex subunit 4 (Signalosome subunit 4)";"Fusarium oxysporum";"Ophiostoma piceae";"K12178";"COPS4, CSN4; COP9 signalosome complex subunit 4";"pci domain-containing protein";2;"C:membrane; P:translation";"-";"";"";"N";"";"cluster gene";"";"g1874"
"292";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp1875";"II";"+";"71.201";"71.854";654;2.647;"7.009.133";"7.009.786";0;0;217;"Putative uncharacterized protein";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"hypothetical protein CMQ_7276";3;"F:molecular_function; P:biological_process; C:cellular_component";"";"";"";"N";"";"cluster gene";"";"g1875"
"293";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp1876";"II";"-";"72.063";"73.154";1.092;208;"7.009.995";"7.011.086";0;0;363;"Zinc-binding oxidoreductase";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"zinc-binding oxidoreductase";5;"P:oxidation-reduction process; F:oxidoreductase activity; F:nucleotide binding; F:zinc ion binding; F:S-(hydroxymethyl)glutathione dehydrogenase activity";"";"";"";"N";"";"cluster gene";"";"g1876"
"294";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp1877";"II";"-";"74.778";"77.103";2.326;1.623;"7.012.710";"7.015.035";1;58;755;"Transcriptional regulator CRZ1";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"c2h2 type zinc finger domain containing protein";1;"F:binding";"-";"";"";"N";"";"cluster gene";"";"g1877"
"295";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp1878";"II";"+";"78.429";"80.774";2.346;1.325;"7.016.361";"7.018.706";1;54;763;"Vegetative incompatibility protein Het-X";"Cladophialophora psammophila";"Cladophialophora psammophila";"";"";"hypothetical protein TRIATDRAFT_80005";2;"F:zinc ion binding; C:intracellular";"";"";"";"N";"";"cluster gene";"";"g1878"
"296";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp1879";"II";"-";"81.598";"82.008";411;823;"7.019.530";"7.019.940";0;0;136;"Putative uncharacterized protein";" ";"";"";"";"---NA---";0;"-";"";"";"";"N";"";"cluster gene";"";"g1879"
"297";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp1880";"II";"-";"83.209";"92.000";8.792;1.2;"7.021.141";"7.029.932";1;65;2.908;"Beta-ketoacyl synthase domain-containing protein";"Colletotrichum graminicola";"Ophiostoma piceae";"K00665";"FASN; fatty acid synthase, animal type [EC:2.3.1.85]";"hybrid pks-nrps";5;"F:transferase activity; P:metabolic process; F:catalytic activity; F:phosphopantetheine binding; F:nucleotide binding";"";"";"";"N";"";"backbone-PKS";"";"g1880"
"298";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp2446";"II";"-";"2.357.853";"2.373.447";15.595;350;"9.295.785";"9.311.379";4;262;5.11;"Hydroxamate-type ferrichrome siderophore peptide synthetase";"Gaeumannomyces graminis";"Ophiostoma piceae";"";"";"non-ribosomal peptide synthetase";3;"P:metabolic process; F:catalytic activity; F:phosphopantetheine binding";"";"";"";"N";"";"backbone-NRPS";"";"g2446"
"299";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp5441";"IV";"+";"2.752.312";"2.755.187";2.876;756;"20.177.727";"20.180.602";2;119;918;"RNA-binding protein 25";"Grosmannia clavigera";"Ophiostoma piceae";"K12822";"RBM25, S164; RNA-binding protein 25";"u1 snrnp-associated protein usp107";2;"F:nucleotide binding; P:mRNA processing";"";"";"";"N";"";"cluster gene";"";"g5441"
"300";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp5442";"IV";"+";"2.755.705";"2.756.541";837;517;"20.181.120";"20.181.956";0;0;278;"Enoyl-hydratase";"Togninia minima";"Ophiostoma piceae";"";"";"carnitinyl- dehydratase";2;"P:metabolic process; F:catalytic activity";"";"";"";"N";"";"cluster gene";"";"g5442"
"301";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp5443";"IV";"+";"2.757.382";"2.758.270";889;840;"20.182.797";"20.183.685";1;70;272;"STIP1 homology and U box-containing protein 1";"Colletotrichum higginsianum";"Ophiostoma piceae";"K09561";"STUB1, CHIP; STIP1 homology and U-box containing protein 1 [EC:6.3.2.19]";"u-box domain-containing protein";1;"F:ligase activity";"-";"";"";"N";"";"cluster gene";"";"g5443"
"302";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp5444";"IV";"-";"2.758.516";"2.760.141";1.626;245;"20.183.931";"20.185.556";0;0;541;"Putative uncharacterized protein";"Thielavia terrestris";"Ophiostoma piceae";"";"";"hypothetical protein THITE_2087899";3;"F:GTP binding; P:small GTPase mediated signal transduction; F:nucleotide binding";"";"";"";"N";"";"cluster gene";"";"g5444"
"303";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp5445";"IV";"-";"2.761.252";"2.763.690";2.439;1.11;"20.186.667";"20.189.105";0;0;812;"Magnesium transporter NIPA2 (Non-imprinted in Prader-Willi/Angelman syndrome region protein 2 homolog)";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"non-imprinted in prader-willi angelman syndrome region protein 2";6;"C:membrane; P:magnesium ion transport; F:magnesium ion transmembrane transporter activity; F:molecular_function; P:biological_process; C:cellular_component";"";"";"";"N";"";"cluster gene";"";"g5445"
"304";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp5446";"IV";"+";"2.767.268";"2.769.151";1.884;3.577;"20.192.683";"20.194.566";0;0;627;"Putative uncharacterized protein";"Togninia minima";"Sporothrix schenckii";"";"";"hypothetical protein VDAG_02112";0;"-";"";"";"";"N";"";"cluster gene";"";"g5446"
"305";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp5447";"IV";"+";"2.770.011";"2.770.281";271;859;"20.195.426";"20.195.696";1;49;73;"Putative uncharacterized protein";"Fusarium oxysporum";"Sporothrix schenckii";"";"";"hypothetical protein THITE_2049710";5;"P:oxidation-reduction process; F:choline dehydrogenase activity; P:alcohol metabolic process; F:oxidoreductase activity, acting on CH-OH group of donors; F:flavin adenine dinucleotide binding";"";"";"";"N";"";"cluster gene";"";"g5447"
"306";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp5448";"IV";"+";"2.772.492";"2.776.586";4.095;2.21;"20.197.907";"20.202.001";0;0;1.364;"Nonribosomal peptide synthetase (NRPS)";"Grosmannia clavigera";"Ophiostoma piceae";"K01976";"E6.-.-.-; unclassified metabolism";"nonribosomal peptide synthetase 10";3;"F:small molecule binding; P:metabolic process; F:oxidoreductase activity";"-";"";"";"N";"";"backbone-NRPS-Like";"";"g5448"
"307";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp5449";"IV";"-";"2.777.527";"2.778.954";1.428;940;"20.202.942";"20.204.369";0;0;475;"Kynureninase";"Verticillium alfalfae";"Ophiostoma piceae";"K01556";"E3.7.1.3; kynureninase [EC:3.7.1.3]";"kynureninase";3;"P:mycelium development; P:NAD biosynthetic process; F:hydrolase activity";"-";"";"";"N";"";"cluster gene";"";"g5449"
"308";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp5450";"IV";"+";"2.780.707";"2.782.032";1.326;1.752;"20.206.122";"20.207.447";0;0;441;"Indoleamine 2,3-dioxygenase family protein (Biosynthesis of nicotinic acid protein 2)";"Colletotrichum sublineola";"Ophiostoma piceae";"K00463";"INDO; indoleamine 2,3-dioxygenase [EC:1.13.11.52]";"indoleamine -dioxygenase";2;"F:heme binding; F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen";"";"";"";"N";"";"cluster gene";"";"g5450"
"309";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp5451";"IV";"-";"2.782.839";"2.783.391";553;806;"20.208.254";"20.208.806";1;58;164;"Heat shock protein related to DnaJ ";"Desulfobacula toluolica";"Desulfobacula toluolica";"";"";"curved dna-binding protein";1;"F:protein binding";"-";"";"";"N";"";"cluster gene";"";"g5451"
"310";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp5452";"IV";"-";"2.786.958";"2.787.311";354;3.566;"20.212.373";"20.212.726";0;0;117;"Putative uncharacterized protein";" ";"";"";"";"---NA---";0;"-";"";"";"";"N";"";"cluster gene";"";"g5452"
"311";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp5453";"IV";"-";"2.788.085";"2.791.420";3.336;773;"20.213.500";"20.216.835";2;132;1.067;"Major intracellular serine protease";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"intracellular serine protease";4;"P:proteolysis; F:serine-type endopeptidase activity; F:peptidase activity; F:hydrolase activity";"";"";"S08A";"N";"";"cluster gene";"";"g5453"
"312";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp5454";"IV";"+";"2.791.800";"2.793.397";1.598;379;"20.217.215";"20.218.812";1;50;515;"Putative uncharacterized protein";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"";0;"-";"";"";"";"N";"";"cluster gene";"";"g5454"
"313";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp5454.1";"IV";"+";"2.793.888";"2.801.727";7.84;490;"20.219.303";"20.227.142";5;307;2.51;"Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B";"Grosmannia clavigera";"Ophiostoma piceae";"K10380";"ANK; ankyrin";"ankyrin repeat-containing";4;"P:proteolysis; F:aspartic-type endopeptidase activity; F:nucleic acid binding; F:DNA binding";"";"";"";"N";"";"cluster gene";"";"g5454"
"314";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp5455";"IV";"-";"2.802.178";"2.803.408";1.231;450;"20.227.593";"20.228.823";2;160;356;"Reticulon-4-interacting protein 1, mitochondrial (NOGO-interacting mitochondrial protein)";"Scedosporium apiospermum";"Ophiostoma piceae";"";"";"alcohol dehydrogenase";4;"F:oxidoreductase activity; F:nucleotide binding; P:oxidation-reduction process; F:zinc ion binding";"-";"";"";"N";"";"cluster gene";"";"g5455"
"315";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp5456";"IV";"+";"2.805.405";"2.806.434";1.03;1.996;"20.230.820";"20.231.849";1;58;323;"Trihydroxytoluene oxygenase";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"trihydroxytoluene oxygenase";1;"F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen";"EC:1.13.11.0";"";"";"N";"";"cluster gene";"";"g5456"
"316";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp5457";"IV";"-";"2.806.630";"2.807.742";1.113;195;"20.232.045";"20.233.157";0;0;370;"Zinc alcohol dehydrogenase";"Grosmannia clavigera";"Ophiostoma piceae";"K00344";"E1.6.5.5, qor; NADPH2:quinone reductase [EC:1.6.5.5]";"zinc alcohol";4;"P:oxidation-reduction process; F:oxidoreductase activity; F:nucleotide binding; F:zinc ion binding";"";"";"";"N";"";"cluster gene";"";"g5457"
"317";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp5881";"V";"+";"885.647";"887.181";1.535;2.717;"21.730.765";"21.732.299";1;59;491;"Hexose transporter";"Togninia minima";"Ophiostoma piceae";"";"";"hexose transporter";4;"P:transmembrane transport; C:integral to membrane; F:substrate-specific transmembrane transporter activity; P:transcription, DNA-dependent";"-";"";"";"N";"";"cluster gene";"";"g5881"
"318";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp5882";"V";"+";"888.318";"891.389";3.072;1.136;"21.733.436";"21.736.507";3;180;963;"Serine/threonine-protein kinase";"Cordyceps militaris";"Ophiostoma piceae";"";"";"camk rad53 protein kinase";1;"F:transferase activity";"-";"";"";"N";"";"cluster gene";"";"g5882"
"319";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp5883";"V";"-";"891.517";"891.836";320;127;"21.736.635";"21.736.954";1;47;90;"Putative uncharacterized protein";" ";"Ophiostoma piceae";"";"";"---NA---";0;"-";"";"";"";"N";"";"cluster gene";"";"g5883"
"320";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp5884";"V";"+";"892.735";"895.836";3.102;898;"21.737.853";"21.740.954";0;0;1.033;"Spindle pole body component";"Grosmannia clavigera";"Ophiostoma piceae";"K13103";"TFIP11; tuftelin-interacting protein 11";"spindle pole body component";5;"P:regulation of transcription, DNA-dependent; F:nucleic acid binding; C:nucleus; F:DNA binding; P:biological_process";"";"";"";"N";"";"cluster gene";"";"g5884"
"321";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp5885";"V";"-";"896.008";"897.285";1.278;171;"21.741.126";"21.742.403";0;0;425;"Neutral cholesterol ester hydrolase 1 (Chlorpyrifosoxon-binding protein)";"Gaeumannomyces graminis";"Ophiostoma piceae";"";"";"alpha beta hydrolase fold protein";2;"F:hydrolase activity; P:metabolic process";"";"";"S09X";"N";"";"cluster gene";"";"g5885"
"322";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp5886";"V";"-";"899.704";"907.604";7.901;2.418;"21.744.822";"21.752.722";1;59;2.613;"Polyketide synthase PksJ";"Colletotrichum gloeosporioides";"Ophiostoma piceae";"K13611";"pksJ; polyketide synthase PksJ";"polyketide synthase";5;"F:transferase activity; P:metabolic process; F:nucleotide binding; F:catalytic activity; F:phosphopantetheine binding";"";"";"";"N";"";"backbone-PKS";"";"g5886"
"323";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp6600";"VI";"-";"586.328";"587.791";1.464;363;"24.280.149";"24.281.612";1;84;459;"3-oxoacyl-acyl-carrier-protein synthase";"Sordaria macrospora";"Ophiostoma piceae";"K09458";"fabF; 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]";"beta-ketoacyl synthase";2;"P:metabolic process; F:transferase activity";"-";"";"";"N";"";"backbone-PKS-Like";"";"g6600"
"324";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp6601";"VI";"+";"589.580";"592.216";2.637;1.788;"24.283.401";"24.286.037";0;0;878;"Sexual differentiation process protein isp4";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"opt family small oligopeptide transporter";7;"P:induction of conjugation upon nitrogen starvation; P:oligopeptide transport; F:oligopeptide transporter activity; P:transmembrane transport; C:integral to membrane; C:endoplasmic reticulum; P:protein transport";"-";"";"";"N";"";"cluster gene";"";"g6601"
"325";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp6602";"VI";"+";"592.954";"593.925";972;737;"24.286.775";"24.287.746";0;0;323;"1-acylglycerol-3-phosphate acyltransferase";"Grosmannia clavigera";"Ophiostoma piceae";"K13509";"LPAAT, AGPAT1, AGPAT2; lysophosphatidate acyltransferase [EC:2.3.1.51]";"1-acylglycerol-3-phosphate acyltransferase";2;"P:metabolic process; F:transferase activity, transferring acyl groups";"-";"";"";"N";"";"cluster gene";"";"g6602"
"326";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp6776";"VI";"-";"1.224.653";"1.232.381";7.729;5.946;"24.918.474";"24.926.202";6;394;2.444;"Polyketide synthase (PKS)";"Grosmannia clavigera";"Ophiostoma piceae";"K12434";"pks7; polyketide synthase 7";"polyketide synthase";2;"F:catalytic activity; F:binding";"-";"";"";"N";"";"backbone-PKS";"";"g6776"
"327";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp6971";"VI";"+";"1.999.836";"2.004.443";4.608;8.169;"25.693.657";"25.698.264";0;0;1.535;"ABC transporter cdr4";"Grosmannia clavigera";"Ophiostoma piceae";"K08711";"ABCG2.PDR; ATP-binding cassette, subfamily G (WHITE), member 2, PDR";"abc transporter cdr4";5;"P:transport; C:integral to membrane; F:ATPase activity, coupled to transmembrane movement of substances; P:ATP catabolic process; F:ATP binding";"-";"";"";"N";"";"cluster gene";"";"g6971"
"328";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp6972";"VI";"-";"2.005.121";"2.011.930";6.81;677;"25.698.942";"25.705.751";0;0;2.269;"Polyketide synthase (PKS)";"Sordaria macrospora";"Ophiostoma piceae";"K12442";"ppsC; phenolpthiocerol synthesis type-I polyketide synthase C";"polyketide synthase";3;"P:metabolic process; F:binding; F:transferase activity";"-";"";"";"N";"";"backbone-PKS";"";"g6972"
"329";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"SM_BackBone";"OphioH327gp7303";"VII";"+";"393.404";"394.645";1.242;189;"26.888.819";"26.890.060";0;0;413;"Sterigmatocystin 8-O-methyltransferase";"Setosphaeria turcica";"Setosphaeria turcica";"";"";"sterigmatocystin 8-o-methyltransferase";7;"F:methyltransferase activity; F:transferase activity; P:methylation; F:O-methyltransferase activity; P:oxidation-reduction process; F:oxidoreductase activity; P:metabolic process";"";"";"";"N";"";"cluster gene";"";"g7303"
